IMDB_titleID,IMDB_rating,IMDB_title_name
/title/tt2372678/,"6.9 based on 23,585 user ratings", 2 States (2014) 
/title/tt2396566/,"7.4 based on 12,411 user ratings"," Twenty Feet from Stardom (2013) aka ""20 Feet from Stardom"" "
/title/tt2544148/,"6.9 based on 1,516 user ratings"," 20 Dakika (2013) (TV Series) aka ""20 Minutes"" "
/title/tt6959400/,6.2 based on 19 user ratings, 2015 Dream Concert (2015) (TV Special) 
/title/tt4575328/,"4.4 based on 7,541 user ratings", 2036 Origin Unknown (2018) 
/title/tt4385888/,"7.3 based on 40,656 user ratings", 20th Century Women (2016) 
/title/tt1711425/,"5.8 based on 72,207 user ratings", 21 & Over (2013) 
/title/tt9315008/,5.1 based on 31 user ratings, 21 Again (2019) (TV Series) 
/title/tt8062474/,8.3 based on 351 user ratings, 21 Sarfarosh Saragarhi 1897 (2018) (TV Series) 
/title/tt6145878/,6.2 based on 945 user ratings, 21 Thunder (2017) (TV Series) 
/title/tt4261326/,"3.8 based on 1,512 user ratings", 2307: Winter's Dream (2016) 
/title/tt5442456/,"5.8 based on 12,631 user ratings", 24 Hours to Live (2017) 
/title/tt5743858/,5.9 based on 92 user ratings, 25 Kille (2016) 
/title/tt2551894/,6.3 based on 937 user ratings," 26 nyeon (2012) aka ""26 Years"" "
/title/tt7319532/,3.6 based on 358 user ratings, 27: El club de los malditos (2018) 
NaN,NaN,NaN
/title/tt0191754/,"6.1 based on 45,519 user ratings", 28 Days (2000) 
/title/tt10145322/,5.9 based on 9 user ratings," 28 Hae Eui Dal (2016) (TV Mini-Series) aka ""28 Moons"" "
/title/tt2172934/,"6.2 based on 88,333 user ratings", 3 Days to Kill (2014) 
/title/tt0338490/,"7.8 based on 2,291 user ratings", 3 Deewarein (2003) 
/title/tt4158624/,"5.9 based on 6,076 user ratings", 3 Generations (2015) 
/title/tt5946974/,6.5 based on 212 user ratings," 3 Srikandi (2016) aka ""3 Heroines"" "
/title/tt1187043/,"8.4 based on 347,799 user ratings", 3 Idiots (2009) 
/title/tt7987516/,7.4 based on 39 user ratings, 3 Seconds Divorce (2018) 
/title/tt3598648/,"5.5 based on 1,552 user ratings", 3 Türken & ein Baby (2015) 
/title/tt7616358/,2.6 based on 24 user ratings," Talatin Yom fi el-Izz (2016) aka ""30 Days of Luxury"" "
/title/tt1622547/,"6.1 based on 94,917 user ratings", 30 Minutes or Less (2011) 
/title/tt0096740/,7.2 based on 917 user ratings," 300 mil do nieba (1989) aka ""300 Miles to Heaven"" "
/title/tt10886166/,"3.2 based on 53,641 user ratings"," 365 dni (2020) aka ""365 Days"" "
NaN,NaN,NaN
/title/tt7736544/,"7.8 based on 4,458 user ratings", 3Below: Tales of Arcadia (2018) (TV Series) 
NaN,NaN,NaN
/title/tt4760186/,7.0 based on 355 user ratings, 42 Grams (2017) 
/title/tt9699148/,6.3 based on 223 user ratings," 44 Gatti (2018) (TV Series) aka ""44 Cats"" "
/title/tt8987918/,7.3 based on 390 user ratings," 45 Revoluciones (2019) (TV Series) aka ""45 RPM"" "
/title/tt7422638/,3.9 based on 935 user ratings, 48 Christmas Wishes (2017) (TV Movie) 
/title/tt8242160/,"5.9 based on 2,716 user ratings"," 4 latas (2019) aka ""4L"" "
/title/tt3978720/,"6.7 based on 9,615 user ratings"," Fourth Man Out (2015) aka ""4th Man Out"" "
/title/tt10279102/,6.2 based on 21 user ratings, 4th Republic (2019) 
/title/tt10681664/,6.4 based on 23 user ratings, 5 Cowok Jagoan (2017) 
/title/tt2933544/,"6.2 based on 9,624 user ratings", 5 Flights Up (2014) 
/title/tt8775056/,4.6 based on 626 user ratings," Natale a 5 stelle (2018) aka ""5 Star Christmas"" "
/title/tt2486678/,"7.1 based on 19,060 user ratings", 5 to 7 (2014) 
/title/tt0343660/,"6.8 based on 329,103 user ratings", 50 First Dates (2004) 
/title/tt1306980/,"7.6 based on 316,424 user ratings", 50/50 (2011) 
/title/tt2713324/,"7.2 based on 1,820 user ratings"," 5 cm (2012) aka ""5CM"" "
/title/tt11529348/,"1.8 based on 2,486 user ratings", 5Gang: Un Altfel de Craciun (2019) 
/title/tt6142496/,"5.9 based on 3,692 user ratings", 6 Balloons (2018) 
/title/tt4703048/,"6.2 based on 18,800 user ratings", 6 Days (I) (2017) 
/title/tt8106534/,"6.1 based on 141,995 user ratings", 6 Underground (2019) 
/title/tt3799372/,"5.6 based on 11,743 user ratings", 6 Years (2015) 
NaN,NaN,NaN
/title/tt5564124/,"7.7 based on 2,125 user ratings", 60 Days In (2016) (TV Series) 
/title/tt5189894/,"6.0 based on 4,979 user ratings", 68 Kill (2017) 
/title/tt9875118/,NaN, 7 (Seven) (2015) (Short) 
/title/tt5517438/,"6.8 based on 4,499 user ratings", 7 años (2016) 
/title/tt9315990/,6.8 based on 451 user ratings, 7 Days Out (2018) (TV Series) 
/title/tt7938400/,4.9 based on 685 user ratings," Saat Din Mohabbat In (2018) aka ""7 Din Mohabbat In"" "
/title/tt1629376/,"6.1 based on 5,536 user ratings", 7 Khoon Maaf (2011) 
/title/tt5815824/,5.8 based on 368 user ratings, 72 Cutest Animals (2016) (TV Mini-Series) 
/title/tt8728268/,6.6 based on 407 user ratings," 72 Dangerous Animals - Asia (2018) (TV Series) aka ""72 Dangerous Animals: Asia"" "
/title/tt7909708/,6.7 based on 440 user ratings, 72 Dangerous Animals: Latin America (2017) (TV Mini-Series) 
/title/tt5674272/,6.3 based on 280 user ratings, 72 Dangerous Places to Live (2016) (TV Series) 
/title/tt9348718/,"6.4 based on 1,024 user ratings", 7Seeds (2019) (TV Series) 
/title/tt6949590/,7.0 based on 63 user ratings, 9 Months That Made You (2016) (TV Series) 
/title/tt8268916/,3.3 based on 489 user ratings, 90 ML (I) (2019) 
/title/tt5305246/,"6.0 based on 1,414 user ratings", 93 Days (2016) 
NaN,NaN,NaN
/title/tt9098586/,6.5 based on 182 user ratings, A 3 Minute Hug (2019) (Short) 
/title/tt4844150/,"5.4 based on 3,017 user ratings", A Babysitter's Guide to Monster Hunting (2020) 
/title/tt6359956/,"5.6 based on 45,438 user ratings", A Bad Moms Christmas (2017) 
NaN,NaN,NaN
/title/tt6289320/,8.0 based on 353 user ratings, A Billion Colour Story (2016) 
/title/tt1401621/,6.6 based on 779 user ratings, A Boy Called Po (2016) 
/title/tt6284014/,7.8 based on 261 user ratings, A Boy Named Flora A (2017) (TV Mini-Series) 
/title/tt0075784/,"7.4 based on 52,544 user ratings", A Bridge Too Far (1977) 
/title/tt13055780/,"5.7 based on 6,511 user ratings", A California Christmas (2020) 
/title/tt4738912/,5.8 based on 286 user ratings," A Horse from Heaven (2018) aka ""A Champion Heart"" "
/title/tt5985820/,5.5 based on 753 user ratings," El Degmemis Ask (2016) aka ""A Chaster Marriage"" "
